<ticker>,<name>,<date>,<per>,<open>,<high>,<low>,<close>,<vol>,<o/i>
E,????,05/06/2019,D,33.029999,33.410000,33.029999,33.299999,106646,0
TI,????,05/06/2019,D,5.460000,5.490000,5.430000,5.450000,222706,0
MLM.MI,????,05/07/2019,D,0.408000,0.414500,0.408000,0.412000,393616,0
MTV.MI,????,05/07/2019,D,1.350000,1.328000,1.294000,1.305000,128480,0
ETH.MI,????,05/07/2019,D,3.670000,3.725000,3.670000,3.695000,26251,0
IRE.MI,????,05/07/2019,D,2.078000,2.098000,2.084000,2.092000,233690,0
HER.MI,????,05/07/2019,D,3.132000,3.170000,3.144000,3.162000,424593,0
IGD.MI,????,05/07/2019,D,6.710000,6.880000,6.710000,6.880000,143255,0
CASS.MI,????,05/07/2019,D,8.125000,8.160000,8.090000,8.100000,115130,0
SRS.MI,????,05/07/2019,D,1.553000,1.553000,1.520000,1.524000,1320769,0
AMP.MI,????,05/07/2019,D,17.010000,17.230000,16.870001,17.180000,161777,0
AST.MI,????,05/07/2019,D,0.692500,0.704500,0.692500,0.701500,236351,0
IP.MI,????,05/07/2019,D,31.959999,32.820000,31.959999,32.540001,63855,0
LR.MI,????,05/07/2019,D,1.172000,1.182000,1.156000,1.170000,9912,0
CAI.MI,????,05/07/2019,D,3.610000,3.575000,3.505000,3.505000,66756,0
CIR.MI,????,05/07/2019,D,1.094000,1.094000,1.054000,1.062000,24920,0
BPSO.MI,????,05/07/2019,D,2.378000,2.378000,2.352000,2.352000,95145,0
CVAL.MI,????,05/07/2019,D,0.070000,0.071200,0.069700,0.070000,1317938,0
MEC.MI,????,05/06/2019,D,0.041200,0.041600,0.041000,0.041600,362727,0
DIS.MI,????,05/07/2019,D,0.090200,0.090500,0.089600,0.090500,91326,0
DIB.MI,????,05/07/2019,D,6.340000,6.420000,6.340000,6.430000,2520,0
FKR.MI,????,05/07/2019,D,3.170000,3.236000,3.170000,3.220000,264550,0
BRE.MI,????,05/07/2019,D,11.180000,11.330000,10.970000,11.290000,234846,0
BGN.MI,????,05/07/2019,D,25.000000,24.959999,24.400000,24.900000,103733,0
REC.MI,????,05/07/2019,D,35.279999,36.250000,35.279999,36.040001,58887,0
GEO.MI,????,05/07/2019,D,1.600000,1.600000,1.578000,1.596000,50368,0
FNM.MI,????,05/07/2019,D,0.518000,0.512000,0.505000,0.512000,7613,0
IF.MI,????,05/07/2019,D,14.770000,14.800000,14.220000,14.260000,67114,0
BST.MI,????,05/07/2019,D,1.570000,1.588000,1.552000,1.552000,136425,0
IMA.MI,????,05/07/2019,D,75.599998,75.000000,73.000000,74.500000,10369,0
SAL.MI,????,05/07/2019,D,1.866000,1.856000,1.827000,1.845000,105367,0
PIA.MI,????,05/07/2019,D,2.400000,2.480000,2.400000,2.466000,287473,0
TITR.MI,????,05/07/2019,D,0.458500,0.464100,0.458200,0.463000,4384702,0
<ticker>,<name>,<date>,<per>,<open>,<high>,<low>,<close>,<vol>,<o/i>
^GSPC,????,05/06/2019,D,2908.889893,2937.320068,2898.209961,2932.469971,1857443096,0
^IXIC,????,05/06/2019,D,7981.849609,8135.543457,7981.849609,8123.289063,1733285359,0
^STOXX50E,????,05/07/2019,D,3460.560059,3467.639893,3446.959961,3450.540039,0,0
^NDX,????,05/06/2019,D,7662.924316,7804.544922,7662.924316,7794.092773,549085458,0
EURUSD=X,????,05/07/2019,D,1.119821,1.121831,1.119695,1.120072,0,0
EURTRY=X,????,05/07/2019,D,6.812700,6.951830,6.799400,6.901200,0,0
USDJPY=X,????,05/07/2019,D,110.680000,110.853996,110.519997,110.599998,0,0
ITLMS.MI,????,05/07/2019,D,23465.429688,23588.189453,23465.429688,23507.130859,0,0
^VIX,????,05/07/2019,D,15.900000,16.350000,15.800000,16.270000,0,0
^FTSE,????,05/07/2019,D,7380.640137,7380.640137,7316.479980,7317.279785,0,0
FTSEMIB.MI,????,05/07/2019,D,21444.390625,21554.810547,21440.390625,21464.980469,0,0
^GDAXI,????,05/07/2019,D,12298.709961,12319.049805,12238.549805,12253.009766,0,0
A2A.MI,????,05/07/2019,D,1.460000,1.469500,1.457000,1.458500,3310598,0
AGL.MI,????,05/07/2019,D,8.625000,8.800000,8.620000,8.695000,263124,0
ANIM.MI,????,05/07/2019,D,3.436000,3.410000,3.376000,3.390000,342148,0
ATL.MI,????,05/07/2019,D,23.500000,23.830000,23.299999,23.719999,181427,0
AZM.MI,????,05/07/2019,D,17.254999,17.885000,16.950001,17.834999,825615,0
BMPS.MI,????,05/07/2019,D,1.337000,1.339000,1.314000,1.321000,439619,0
BAMI.MI,????,05/07/2019,D,2.072000,2.072000,2.047000,2.050000,2718452,0
BPE.MI,????,05/07/2019,D,4.139000,4.181000,4.140000,4.161000,471962,0
BZU.MI,????,05/07/2019,D,19.415001,19.459999,19.330000,19.365000,92245,0
CNHI.MI,????,05/07/2019,D,9.260000,9.458000,9.260000,9.416000,1328313,0
CPR.MI,????,05/07/2019,D,8.780000,9.070000,8.720000,9.050000,1608097,0
ENEL.MI,????,05/07/2019,D,5.588000,5.632000,5.575000,5.625000,5766220,0
ENI.MI,????,05/07/2019,D,14.900000,14.860000,14.712000,14.732000,2926939,0
EXO.MI,????,05/07/2019,D,57.619999,57.740002,56.540001,57.540001,46927,0
FBK.MI,????,05/07/2019,D,11.045000,11.300000,10.975000,10.905000,3207357,0
FCA.MI,????,05/07/2019,D,13.934000,14.018000,13.870000,13.916000,2244705,0
FCAU,????,05/06/2019,D,15.330000,15.700000,15.310000,15.680000,3528980,0
G.MI,????,05/07/2019,D,17.100000,17.254999,17.155001,17.174999,1527339,0
GEO.MI,????,05/07/2019,D,1.600000,1.600000,1.578000,1.596000,50368,0
IG.MI,????,05/07/2019,D,5.484000,5.582000,5.484000,5.576000,1145099,0
INW.MI,????,05/07/2019,D,7.420000,7.655000,7.470000,7.635000,123876,0
ISP.MI,????,05/07/2019,D,2.295500,2.313500,2.291000,2.299500,28278105,0
LDO.MI,????,05/07/2019,D,9.930000,9.978000,9.874000,9.918000,834958,0
MONC.MI,????,05/07/2019,D,36.400002,36.590000,36.070000,36.189999,197281,0
MS.MI,????,05/07/2019,D,2.940000,2.966000,2.906000,2.946000,510867,0
MB.MI,????,05/07/2019,D,9.294000,9.418000,9.212000,9.354000,507899,0
BMED.MI,????,05/07/2019,D,6.390000,6.390000,6.275000,6.370000,87528,0
PST.MI,????,05/07/2019,D,9.340000,9.438000,9.212000,9.392000,524900,0
RACE.MI,????,05/07/2019,D,116.699997,119.400002,113.050003,118.849998,115156,0
RACE,????,05/06/2019,D,130.250000,133.130005,129.460007,132.330002,342946,0
PRY.MI,????,05/07/2019,D,16.990000,17.045000,16.645000,16.980000,409911,0
SFER.MI,????,05/07/2019,D,19.205000,19.320000,19.155001,19.260000,80523,0
SPM.MI,????,05/07/2019,D,4.241000,4.317000,4.270000,4.277000,1743130,0
SRG.MI,????,05/07/2019,D,4.430000,4.528000,4.423000,4.509000,1227249,0
STM.MI,????,05/07/2019,D,15.860000,15.835000,15.595000,15.795000,1133408,0
TEN.MI,????,05/07/2019,D,12.110000,12.135000,12.020000,12.045000,574340,0
TIT.MI,????,05/07/2019,D,0.494200,0.497800,0.492800,0.493900,20528055,0
TOD.MI,????,05/07/2019,D,43.700001,43.400002,43.000000,43.360001,15763,0
TRN.MI,????,05/07/2019,D,5.388000,5.432000,5.384000,5.430000,1158076,0
